Unspecified	Unspecified				75887
Driver Inattention/Distraction	Unspecified				17284
Fatigued/Drowsy	Unspecified				11265
Unspecified					9289
Driver Inattention/Distraction	Driver Inattention/Distraction				6671
Failure to Yield Right-of-Way	Unspecified				6124
Backing Unsafely	Unspecified				5170
Turning Improperly	Unspecified				4629
Other Vehicular	Other Vehicular				4429
Unspecified	Unspecified	Unspecified			4187
Lost Consciousness	Unspecified				4054
Prescription Medication	Unspecified				3310
Physical Disability	Unspecified				1548
Other Vehicular	Unspecified				1547
Pavement Slippery	Unspecified				1490
Driver Inexperience	Unspecified				1484
Driver Inattention/Distraction					1324
Outside Car Distraction	Unspecified				1303
Traffic Control Disregarded	Unspecified				1270
Fatigued/Drowsy	Fatigued/Drowsy				1130
Driver Inattention/Distraction	Unspecified	Unspecified			1104
Oversized Vehicle	Unspecified				1034
Lost Consciousness	Lost Consciousness				979
Fatigued/Drowsy	Unspecified	Unspecified			973
Failure to Yield Right-of-Way	Failure to Yield Right-of-Way				946
Alcohol Involvement	Unspecified				906
Unspecified	Unspecified	Unspecified	Unspecified		818
					742
Turning Improperly	Turning Improperly				730
Other Vehicular					726
Other Vehicular	Driver Inattention/Distraction				687
Other Vehicular	Fatigued/Drowsy				573
Traffic Control Disregarded					434
Backing Unsafely	Backing Unsafely				432
Pavement Slippery					417
Aggressive Driving/Road Rage	Unspecified				411
Outside Car Distraction					381
Prescription Medication	Prescription Medication				380
Driver Inattention/Distraction	Fatigued/Drowsy				370
Driver Inexperience	Driver Inexperience				369
Fatigued/Drowsy	Fatigued/Drowsy	Unspecified			367
View Obstructed/Limited	Unspecified				359
Illness	Unspecified				356
Pavement Slippery	Pavement Slippery				355
Brakes Defective	Unspecified				353
Physical Disability	Physical Disability				333
Backing Unsafely					319
Driver Inattention/Distraction	Other Vehicular				313
Failure to Yield Right-of-Way					304
Other Electronic Device	Unspecified				303
Outside Car Distraction	Fatigued/Drowsy				299
Alcohol Involvement					292
Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	273
Other Vehicular	Turning Improperly				268
Traffic Control Disregarded	Unspecified	Unspecified			267
Outside Car Distraction	Outside Car Distraction				266
Failure to Keep Right	Unspecified				263
Driver Inattention/Distraction	Driver Inattention/Distraction	Unspecified			256
Driver Inattention/Distraction	Failure to Yield Right-of-Way				228
Reaction to Other Uninvolved Vehicle	Unspecified				226
Failure to Yield Right-of-Way	Unspecified	Unspecified			226
Other Vehicular	Lost Consciousness				221
Obstruction/Debris					205
Driver Inexperience					200
Glare	Unspecified				196
Driver Inattention/Distraction	Turning Improperly				196
Other Vehicular	Other Vehicular	Other Vehicular			191
Lost Consciousness					188
Driver Inattention/Distraction	Unspecified	Unspecified	Unspecified		186
Backing Unsafely	Driver Inattention/Distraction				183
Alcohol Involvement	Unspecified	Unspecified			178
Traffic Control Disregarded	Traffic Control Disregarded				173
Other Vehicular	Failure to Yield Right-of-Way				170
Failure to Yield Right-of-Way	Driver Inattention/Distraction				169
Unsafe Speed	Unspecified				168
